Data,Modelo,Vram,Tipo de Memoria,Preco a vista,Preco Parcelado
24-07-25,ASROCK RADEON RX 6600 CHALLENGER WHITE,8GB,GDDR6,"R$ 1.699,99","R$ 1.999,99"
24-07-25,XFX RADEON RX 9070 SWIFT TRIPLE FAN GAMING EDITION WHITE OC,16GB,GDDR6,"R$ 5.999,99","R$ 7.058,81"
24-07-25,XFX RADEON RX 9070 SWIFT TRIPLE FAN OC,16GB,GDDR6,"R$ 4.999,99","R$ 5.882,34"
24-07-25,XFX RADEON RX 9060 XT TRIPLE FAN OC WHITE,16GB,GDDR6,"R$ 3.239,99","R$ 3.811,75"
24-07-25,XFX RADEON RX 9060 XT SWIFT GAMING EDITION OC,16GB,GDDR6,"R$ 3.149,99","R$ 3.705,87"
24-07-25,XFX RADEON RX 9060 XT GAMING EDITION OC,8GB,GDDR6,"R$ 2.599,99","R$ 3.058,81"
24-07-25,XFX RADEON RX 9060 XT GAMING EDITION OC WHITE,8GB,GDDR6,"R$ 2.299,99","R$ 2.705,87"
24-07-25,ASUS RADEON RX 9060 XT TUF GAMING OC EDITION,16GB,GDDR6,"R$ 3.759,99","R$ 4.423,52"
24-07-25,ASUS RADEON RX 9060 XT PRIME OC EDITION,8GB,GDDR6,"R$ 2.899,99","R$ 3.411,75"
24-07-25,ASROCK RADEON RX 9060 XT STEEL LEGEND OC,8GB,GDDR6,"R$ 2.499,99","R$ 2.941,16"
24-07-25,ASROCK RADEON RX 9060 XT CHALLENGER OC,8GB,GDDR6,"R$ 2.279,99","R$ 2.682,34"
24-07-25,PCYES RADEON R5 230,2GB,GDDR3,"R$ 199,99","R$ 235,28"
24-07-25,ASROCK RADEON RX 7700 XT CHALLENGER OC,12GB,GDDR6,"R$ 3.899,99","R$ 4.588,22"
24-07-25,ASROCK RADEON RX 6400 CHALLENGER ITX,4GB,GDDR6,"R$ 1.099,99","R$ 1.294,11"
24-07-25,GIGABYTE RADEON RX 9060 XT GAMING OC,8GB,GDDR6,"R$ 2.699,99","R$ 3.176,46"
24-07-25,XFX RADEON RX 9070 XT MERCURY,16GB,GDDR6,"R$ 5.499,99","R$ 6.470,58"
24-07-25,GAINWARD GEFORCE RTX 5060 GHOST,8GB,GDDR6,"R$ 2.599,99","R$ 3.058,81"
24-07-25,POWERCOLOR RADEON RX 9070 XT REAPER,16GB,GDDR6,"R$ 5.399,99","R$ 6.352,93"
24-07-25,POWERCOLOR RADEON RX 9070 XT RED DEVIL OC,16GB,GDDR6,"R$ 5.999,99","R$ 7.058,81"
24-07-25,POWERCOLOR RADEON RX 9070 XT HELLHOUND OC,16GB,GDDR6,"R$ 5.639,99","R$ 6.635,28"
24-07-25,XFX RADEON RX 9070 XT SWIFT WHITE TRIPLE FAN GAMING EDITION,16GB,GDDR6,"R$ 5.599,99","R$ 6.588,22"
24-07-25,ZOTAC GEFORCE RTX 5070 SOLID OC,12GB,GDDR7,"R$ 4.699,99","R$ 5.529,40"
24-07-25,PCYES GEFORCE GTX 750 TI,4GB,GDDR5,"R$ 629,99","R$ 741,16"
24-07-25,XFX RADEON RX 9070 XT MERCURY OC GAMING EDITION,16GB,GDDR6,"R$ 5.699,99","R$ 6.705,87"
24-07-25,XFX RADEON RX 9070 XT QUICKSILVER GAMING EDITION,16GB,GDDR6,"R$ 5.199,99","R$ 6.117,64"
24-07-25,PALIT GEFORCE RTX 5050 DUAL,8GB,GDDR6,"R$ 2.149,99","R$ 2.529,40"
24-07-25,PALIT GEFORCE RTX 5050 DUAL OC,8GB,GDDR6,"R$ 2.249,99","R$ 2.647,05"
24-07-25,XFX RADEON RX 7700 XT SWFT 210 SPEEDSTER,12GB,GDDR6,"R$ 3.159,99","R$ 3.717,64"
24-07-25,ASUS RADEON RX 7600 DUAL EVO OC EDITION,8GB,GDDR6,"R$ 1.699,99","R$ 1.999,99"
24-07-25,GIGABYTE RADEON RX 9070 GAMING OC,16GB,GDDR6,"R$ 4.999,99","R$ 5.882,34"
24-07-25,ASROCK INTEL ARC A310 LOW PROFILE,4GB,GDDR6,"R$ 859,99","R$ 1.011,75"
24-07-25,GIGABYTE RADEON RX 9070 XT AORUS ELITE,16GB,GDDR6,"R$ 6.059,99","R$ 7.129,40"
24-07-25,ASROCK RADEON RX 9070 CHALLENGER,16GB,GDDR6,"R$ 4.999,99","R$ 5.882,34"
24-07-25,SPARKLE INTEL ARC B580 TITAN LUNA OC,12GB,GDDR6,"R$ 2.159,99","R$ 2.541,17"
24-07-25,ASROCK RADEON RX 9070 STEEL LEGEND OC,16GB,GDDR6,"R$ 5.499,99","R$ 6.470,58"
24-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC,16GB,GDDR7,"R$ 3.699,99","R$ 4.352,93"
24-07-25,INNO3D GEFORCE RTX 5060 TI TWIN X2 OC WHITE,16GB,GDDR7,"R$ 3.749,99","R$ 4.411,75"
24-07-25,MANCER RADEON RX 5700 XT STREAKY V2,8GB,GDDR6,"R$ 1.499,99","R$ 1.764,69"
24-07-25,ASUS GEFORCE RTX 5090 TUF GAMING,32GB,GDDR7,"R$ 19.499,99","R$ 22.941,16"
24-07-25,SPARKLE INTEL ARC B580 TITAN OC,12GB,GDDR6,"R$ 2.059,99","R$ 2.423,52"
24-07-25,ASUS RADEON RX 9070 XT PRIME OC,16GB,GDDR6,"R$ 5.399,99","R$ 6.352,93"
24-07-25,MSI GEFORCE RTX 5060 VENTUS 2X OC,8GB,GDDR7,"R$ 2.399,99","R$ 2.823,52"
